SampleName,NOP2,NSUN2,NSUN3,NSUN4,NSUN5,NSUN6,NSUN7,DNMT1,DNMT3A,DNMT3B,TRDMT1,TET1,TET2,TET3,ALKBH1,ALYREF,YBX1,CODE,Group
GSM316652,9.127265107,9.960195996,8.951078254,7.37636777,9.259579778,7.378962856,5.67196368,9.768533001,8.059345202,8.002309073,7.243185792,6.110262983,8.787239637,9.499831891,7.913082855,8.948992057,13.37708697,LAML,Tumor
GSM316653,9.333854942,10.01062671,8.501419819,7.690938782,9.283685654,7.481311532,5.39180853,9.935050582,9.521954941,9.196985548,6.861178196,5.994841421,9.265544809,9.353285448,7.622708497,9.711707599,13.62755426,LAML,Tumor
GSM316654,9.487411098,9.687206636,8.964957559,8.282187543,10.01816895,8.057095495,4.792417566,9.691077324,8.918403325,8.414061034,7.408260923,6.319123541,8.17952747,8.905865106,7.926235823,9.855745578,13.47003453,LAML,Tumor
GSM316655,9.205086427,9.97943,8.882121926,8.314977342,9.553948086,7.695885033,6.130925844,9.701868106,9.139319841,8.654393499,7.647663387,5.890647469,7.751366769,9.479197197,7.402615175,9.429620349,13.26128903,LAML,Tumor
GSM316656,8.856835292,9.888967713,9.073175054,7.475547066,9.890156631,7.51541983,4.955196425,9.987370712,8.997171618,8.08728037,7.404524542,6.098777673,8.904857203,9.178329885,7.896552209,9.384810455,13.60248277,LAML,Tumor
GSM316657,9.623423202,9.418744756,8.925790679,8.251268597,9.228395927,7.772558429,5.166499553,9.78924129,8.721209117,8.305055467,7.360854395,6.117812029,8.826914623,9.882235347,7.974027334,9.68688171,13.53751471,LAML,Tumor
GSM316658,8.248398494,9.425834036,9.869908415,7.841225209,8.994931337,7.980099044,6.332015485,9.772462429,8.255452585,8.365346578,7.265696323,6.326724898,8.012031187,8.927975358,7.421989946,8.757428138,13.50985552,LAML,Tumor
GSM316659,9.220501516,9.788358114,9.155134232,7.634221079,9.86735907,7.503421801,5.626434162,10.01513778,8.435987357,8.26469189,8.381646777,6.912920605,9.407934423,10.05400931,8.051792149,9.038577413,13.45327026,LAML,Tumor
GSM316660,9.010631299,9.110955673,8.426230109,7.623607678,9.018366322,7.360149249,5.499516324,10.02120469,8.38538818,7.544555252,6.770885316,6.508090474,7.870564611,8.804327883,7.347612065,9.533539111,13.23580168,LAML,Tumor
GSM316661,9.703591836,10.00713711,8.546883327,8.341367354,10.31921985,7.98577807,5.461594434,10.1310596,10.14468763,9.976098126,7.895108295,6.323155838,8.755742765,9.208095576,7.804829336,9.766913046,13.56716066,LAML,Tumor
GSM316662,9.857779835,9.419679066,8.63293097,7.366511122,8.898242018,7.493119537,5.851548778,9.244087269,7.490913454,7.066989715,7.136476324,5.417737302,9.074473455,8.562395834,7.67054609,8.475150719,12.950177,LAML,Tumor
GSM316663,9.767126271,10.1639565,8.273925283,7.817373413,9.930104746,7.630954954,5.857317438,10.36704499,9.17699911,8.53791387,8.035506225,6.3963135,9.80109252,9.408260275,7.969816545,9.505670152,13.56423494,LAML,Tumor
GSM316664,9.93249388,10.36109802,8.3872895,8.357025011,10.40484838,7.666276115,5.089242002,9.731551578,10.24899838,9.607195874,8.469745221,6.894072505,9.283652693,9.388711007,8.244180632,9.102606749,13.26191389,LAML,Tumor
GSM316665,9.156532034,9.815670789,8.801666899,7.436885234,9.341108109,7.460327815,4.97086273,10.03493801,7.345886123,7.59482125,7.468272213,5.74780168,9.080981683,10.33948636,7.729410005,8.931733233,13.5894582,LAML,Tumor
