Group,NOP2,NSUN2,NSUN3,NSUN4,NSUN5,NSUN6,NSUN7,DNMT1,DNMT3A,DNMT3B,TRDMT1,TET1,TET2,TET3,ALKBH1,ALYREF,YBX1,CODE,SampleName
Tumor,16.99943787,9.479742168,3.899881032,5.349968366,6.889936199,4.349858205,0,32.56963631,9.280126991,0.510001701,1.700019878,0.009999639,1.360031069,4.659872345,2.589983809,20.16985035,189.0851652,LAML,sample1
Tumor,19.12946452,13.48976262,3.969993502,8.46981041,7.449824079,5.720129497,0,36.21110155,9.399907295,0.520016151,1.780015411,0.049998549,2.429915929,4.979877743,2.700011907,20.17963968,263.3603818,LAML,sample2
Tumor,22.3505039,14.57982049,4.659872345,11.1600434,8.519865627,5.769914673,0,42.77115525,9.68969408,0.76001669,2.030013741,0.070001829,2.670037073,7.980168595,3.039903427,20.17963968,269.3791994,LAML,sample3
Tumor,27.49976793,17.97998314,5.239847029,11.21977174,8.720038856,5.880156982,0,46.48099225,9.820204694,0.780003003,2.059936422,0.080001925,3.889889476,8.28973496,3.380117141,21.18001764,283.7732749,LAML,sample4
Tumor,28.52093587,20.66948021,5.519886722,12.17020413,8.96025008,6.409780443,0,46.64883263,9.900176757,0.940021767,2.069960447,0.089999347,5.869974539,8.929865529,3.520036054,21.79059665,284.6795267,LAML,sample5
Tumor,30.58925016,21.52039962,5.839937712,12.40959174,9.300091313,6.429807926,0,57.75103987,10.40035805,1.110031715,2.550065604,0.120001765,6.360204645,9.379728723,3.610003954,21.98022677,287.1170063,LAML,sample6
Tumor,31.6899719,22.64053712,5.919832333,12.67036465,9.390138055,6.899974012,0,59.46940518,11.24001186,1.120010662,2.559987125,0.120001765,8.479797874,10.24010867,3.639912324,22.20996238,322.1515044,LAML,sample7
Tumor,32.58092639,23.93980902,6.129904788,12.68970226,9.590124685,7.099890698,0,67.08779843,11.46030964,1.190021949,2.619968473,0.129996484,8.519865627,10.35001258,4.090131755,23.14995817,342.9598292,LAML,sample8
Tumor,33.12977393,24.02958725,6.329853451,13.25983761,9.820204694,7.610073752,0,69.63203498,11.9801958,1.220031145,2.81003224,0.129996484,8.819741876,10.40035805,4.159912644,23.34979883,344.0550971,LAML,sample9
Tumor,33.72992555,25.19984144,6.689898691,13.41981147,9.980108155,7.780239579,0,70.40858821,12.40959174,1.250015791,2.829976945,0.159996363,10.25005153,10.50979581,4.249993344,26.07046956,345.7524891,LAML,sample10
