SampleName,hsa-mir-103a-1,hsa-mir-103a-2,hsa-mir-125a,hsa-mir-126,hsa-mir-1307,hsa-mir-130a,hsa-mir-146a,hsa-mir-146b,hsa-mir-151a,hsa-mir-151b,hsa-mir-17,hsa-mir-181a-2,hsa-mir-181d,hsa-mir-186,hsa-mir-188,hsa-mir-19b-1,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-30c-1,hsa-mir-30c-2,hsa-mir-3151,hsa-mir-3665,hsa-mir-576,hsa-mir-582,hsa-mir-589,hsa-mir-6503,hsa-mir-6718,hsa-mir-6827,hsa-mir-6835,hsa-mir-6863,hsa-mir-8085,hsa-mir-9-1,hsa-mir-9-2,hsa-mir-9-3,hsa-mir-92a-1,hsa-mir-99b,CODE,Group
TCGA-AB-2805-03,14.33233409,14.32057072,8.87140958,14.23624362,12.51826189,7.516331624,10.84835001,11.35697693,12.11953294,3.050189268,12.50566924,13.92817369,6.275634104,10.54267357,4.514098205,9.942855851,9.841517365,7.635612472,10.600213,10.52614258,3.960364634,0,5.889124265,8.317563388,8.463612796,7.097538997,1.146569205,0,0,0,0,5.40161347,5.178004032,5.225584624,14.42266143,14.09947332,LAML,Tumor
TCGA-AB-2806-03,13.17382001,13.17737745,7.618780145,16.32207333,11.81018645,8.983508248,13.12675694,12.95323339,9.182748947,1.394851591,12.81194858,15.10164484,6.8666934,10.98369295,0,9.855835768,9.616263313,3.811154199,11.99086547,11.97926638,4.242279407,0,5.975569591,4.99831643,7.090197306,3.193467878,3.633117643,0,0,0,0,2.557984456,3.633117643,3.429975823,15.03661034,13.08407538,LAML,Tumor
TCGA-AB-2808-03,14.65452718,14.64407972,6.38513957,14.45438232,11.22436768,9.78444922,11.11974424,11.21035699,7.020476132,1.071150321,12.7278835,14.41812479,6.224469553,11.05252493,1.071150321,10.71156942,10.71062178,2.105451466,11.56464845,11.46982163,1.679070626,0,5.595373892,11.71113919,8.063223425,4.834291734,3.586294215,0,0,0,0,4.52495148,4.13065268,4.834291734,13.78527954,11.01616989,LAML,Tumor
TCGA-AB-2810-03,12.91928992,12.92101232,7.86009884,11.16484468,10.23358645,5.697523111,11.43293419,11.0634837,5.859573771,0,12.59719295,14.5132915,7.698110564,10.30567778,0,10.45263569,10.47625731,7.414896055,11.29893915,11.31474823,0,0,4.846036817,8.871315284,7.078713106,3.122898133,3.737489594,0,0,0,0,9.361961161,9.327743963,9.491249475,14.27562093,12.68157599,LAML,Tumor
TCGA-AB-2811-03,13.51768696,13.52072419,4.634236732,11.61086318,10.39760759,6.832765494,9.583486231,11.03019672,9.233962255,0.912830717,13.16464509,12.33381371,4.41297929,10.40514061,3.918745909,11.47071597,11.45129081,6.451344526,11.73374044,11.77937897,0,0,5.551585321,13.23568062,7.809492359,5.845366626,6.832765494,0,0,0,0,8.555212774,8.605122704,8.453531205,14.62222297,7.383309432,LAML,Tumor
TCGA-AB-2812-03,12.05731308,12.0754166,8.231268167,12.78364891,10.2910064,6.763362838,11.02481346,12.97105244,5.173879094,0,13.21209757,13.44545458,5.264488503,9.846412833,3.372907674,10.34909935,10.13162778,5.349741898,10.12861544,10.16141029,0,0,5.077195264,8.908943901,8.089745711,3.910686714,8.349829267,0,0,0,0,7.095031656,6.763362838,6.699836004,15.94763477,13.4065013,LAML,Tumor
TCGA-AB-2813-03,14.85260572,14.86224926,6.946456809,12.93572053,11.60828921,7.617945857,9.13814336,12.4481681,10.70472907,0,13.35373076,12.48505338,4.350131011,11.71713983,3.850717827,11.1266272,11.11793723,9.190655761,11.84258173,11.81596484,0,0,6.375995395,10.84707001,7.550659621,5.733810616,5.36742534,0,0,0,0,6.636131831,6.451717928,6.678773893,14.28556167,12.41544608,LAML,Tumor
TCGA-AB-2814-03,13.71621661,13.68178717,8.9235281,14.20061435,10.14060461,6.048230692,10.99726277,12.66657296,10.71544795,2.737136399,13.07319888,15.97179323,5.919060933,10.56704776,3.624675635,10.32081341,10.05864362,10.04709747,11.2780695,11.28135824,1.938747983,0,6.646457705,6.90708995,7.156704103,0,1.938747983,0,0,0,0,8.484016246,8.365064629,8.235416826,16.03483523,13.18628945,LAML,Tumor
TCGA-AB-2815-03,14.63323697,14.63552602,7.893205318,15.08382355,11.79332775,9.281761135,11.38097468,11.98838032,8.669644312,0,12.73339604,13.21656228,5.168806078,10.76836974,3.555895035,10.05110469,9.813001422,3.555895035,11.15284,10.98873535,0,0,5.168806078,11.72618084,8.631008318,6.488246728,3.181179217,0,0,0,0,6.488246728,6.762965696,6.798265581,14.26243435,13.17142095,LAML,Tumor
TCGA-AB-2817-03,14.38869898,14.34200234,9.992029886,15.0821692,11.12165676,9.796588061,14.08256261,14.31814941,11.14205388,2.386860874,13.6936968,14.42923635,4.600864172,11.53755923,3.532996749,11.05294219,10.88883541,9.391208569,11.68478406,11.70137253,2.386860874,0,6.26946819,10.25682472,7.411148621,4.72143205,3.241895389,0,0,0,0,4.469293738,3.982367001,4.935990901,15.42393795,15.07511465,LAML,Tumor
