SampleName,NOP2,NSUN2,NSUN3,NSUN4,NSUN5,NSUN6,NSUN7,DNMT1,DNMT3A,DNMT3B,TRDMT1,TET1,TET2,TET3,ALKBH1,ALYREF,YBX1,CODE,Group
TCGA-AB-2876-03,29.0878506,37.39804549,12.81913626,13.56047063,12.98706972,25.84886666,0.017561272,50.32975874,35.02858343,21.94996634,6.06861543,2.15440956,51.39333366,36.09162921,10.21814083,47.42293135,753.6342801,LAML,Tumor
TCGA-AB-2952-03,49.04634936,40.2912426,8.585463731,24.70380416,21.67571993,15.62755482,0.504891298,72.01667224,22.78560148,50.47508448,4.116385705,2.047527735,22.43092837,42.05823926,14.10116659,117.1319585,1004.81928,LAML,Tumor
TCGA-AB-2915-03,42.56590222,52.50866159,25.05307017,19.05642213,22.80076239,29.25991611,4.39593008,77.80153094,31.12406269,54.01592911,7.547075547,5.203758049,40.97295305,49.15858144,14.65047552,68.51416042,635.5168914,LAML,Tumor
TCGA-AB-2929-03,29.46098187,72.27718021,14.25165004,21.96945542,15.53543556,59.3611816,1.466385129,85.40121607,54.96850792,142.9290336,8.489472109,8.136353455,27.74097311,36.50817386,20.68056766,57.8489865,552.7895082,LAML,Tumor
TCGA-AB-2938-03,32.13680266,43.30916938,11.25320066,23.31472971,17.94970625,41.53701332,0.375685384,131.5407991,18.39044341,19.9107736,4.240384289,8.930924976,27.6021347,39.98748571,17.20654911,93.15670456,945.0887905,LAML,Tumor
TCGA-AB-2849-03,22.79788653,47.68521456,24.06577339,17.46822939,11.27906355,30.82862231,0.270785676,72.06245,40.79410991,145.4480518,16.05075842,15.69275924,2.606436992,58.77178499,14.3360845,51.36865944,314.8383721,LAML,Tumor
TCGA-AB-2877-03,82.25009058,47.43705348,13.79589907,35.64243891,25.22217089,30.40860862,0.046579171,73.91834859,43.01009052,22.54584796,8.42441455,1.944289223,34.10206048,55.63536749,14.32555181,109.27367,525.3481767,LAML,Tumor
TCGA-AB-2986-03,30.25989035,22.70880517,6.556439153,18.47045963,19.00518068,13.46424336,0.0807252,28.19268117,18.33407105,32.18217678,4.166293859,1.923137093,9.674934345,12.15517448,9.555138793,60.81481673,553.2812529,LAML,Tumor
TCGA-AB-2971-03,37.21616009,40.1851731,13.06952294,18.04767043,13.2486911,25.2830102,0.585252721,60.2204038,26.70388387,11.74593168,9.364675981,2.772941582,77.03833486,52.05513728,10.85215447,58.62217541,429.8946918,LAML,Tumor
TCGA-AB-2955-03,23.62962084,42.85411899,15.36716414,11.2681664,14.21697348,37.33790023,0.046662771,41.54108853,33.97425486,41.67031775,15.10948928,4.038078004,38.30142753,17.46669908,7.020482748,30.90664438,436.7278467,LAML,Tumor
TCGA-AB-3007-03,46.47268522,14.3741274,9.502609535,18.19447371,17.92525056,38.07361612,3.484784897,52.80019312,37.26238991,35.67017649,8.136189491,2.227944718,22.95525522,42.67813796,14.0348889,64.30120791,938.0339343,LAML,Tumor
TCGA-AB-2896-03,45.29861819,41.90158269,15.00118195,24.37432536,24.34335082,32.4922396,0.486344407,75.18136132,34.95340026,72.65112088,8.387665327,3.713560005,34.93481065,35.77323363,10.24127772,59.20071211,639.9615615,LAML,Tumor
TCGA-AB-2821-03,52.85068955,54.16964713,13.98454721,28.46167415,18.0857219,28.75086637,0.48695919,86.10604047,24.50005047,37.90525523,7.480106648,4.754858506,39.70980833,64.12501539,12.03276719,72.67127629,600.9625068,LAML,Tumor
TCGA-AB-2841-03,35.60470599,32.36936422,6.923851962,9.786918168,17.08400643,15.30798745,0.084205052,39.47618128,18.69161616,10.92039502,3.501907091,0.1214482,18.07263077,24.57099449,7.045985075,62.64385122,575.694673,LAML,Tumor
TCGA-AB-2899-03,51.48897128,60.73166331,13.94359719,27.55871239,26.07312671,15.2980582,0.358870816,96.6897871,47.4622799,28.64078877,12.33948561,16.41318609,34.00422718,60.04215171,15.60348408,90.71620031,527.6195684,LAML,Tumor
TCGA-AB-3001-03,50.20266665,52.70523448,11.39814044,15.99635001,23.30975583,22.22338142,0.311695128,57.76834547,38.732502,32.89023143,6.224908216,0.661110467,35.57358289,55.32409437,12.26351547,77.55465882,878.0445283,LAML,Tumor
TCGA-AB-2924-03,39.61509323,53.80365271,13.5554739,17.53496251,28.11444154,27.04843581,0.038558234,72.27184396,20.01241634,27.66049451,6.843945625,3.238592755,64.71469442,48.68454189,11.15357928,63.99148032,611.1884451,LAML,Tumor
TCGA-AB-2941-03,37.57925717,66.47489213,7.208436505,30.06491569,16.17813018,23.19957109,1.526928642,99.17075775,17.07755342,30.97831431,4.912477146,4.204770063,24.30300803,59.3356225,17.27973082,41.83206163,1403.934163,LAML,Tumor
TCGA-AB-2892-03,38.01557711,31.96189156,9.091984111,12.10972122,11.65155393,15.99223386,0.033188829,56.15269411,20.83520713,1.542054803,7.663377896,5.88775837,44.76805219,39.80783581,12.82811274,52.03974716,667.3841625,LAML,Tumor
TCGA-AB-2812-03,72.29395823,42.19791392,11.81952194,17.58453831,10.78553957,29.72879587,0.119815932,52.65714144,19.67969413,26.3231572,7.743191295,3.127996355,32.8542229,39.69523558,8.849623481,50.07814408,532.1900504,LAML,Tumor
TCGA-AB-2869-03,52.33965416,55.42639813,14.18321637,23.76553908,22.59756329,31.8164217,0.383670391,78.97253174,28.12338137,59.0222034,10.01725161,5.342168437,36.71928587,40.25261094,15.64563859,73.08039125,657.2064009,LAML,Tumor
TCGA-AB-2806-03,35.96124405,71.37364093,14.9265406,28.11228203,19.25299158,41.9446844,0.225629097,55.81491382,50.76497015,13.93063062,5.296678277,24.34928585,35.67504066,48.54293845,15.55207689,55.78382263,765.6200131,LAML,Tumor
TCGA-AB-2863-03,42.7645083,64.02803996,19.84401838,26.86525339,13.77347144,23.33075274,0.222247263,92.07062517,21.82579065,35.91506176,9.616819457,4.072810315,32.23772508,46.59071296,12.06949555,67.14832533,876.4708899,LAML,Tumor
TCGA-AB-2982-03,36.84334373,30.71715238,9.087488725,16.7642835,21.04084446,35.90675869,2.19624455,40.49813674,29.44294265,25.99110099,5.279314348,0.918891741,18.71092053,31.03156793,10.95342219,60.09692099,614.8202754,LAML,Tumor
TCGA-AB-2883-03,22.35221705,24.31278353,5.508684022,17.06857336,25.97488711,21.14520242,9.147172561,50.94814858,14.9972266,4.469608994,4.181889184,2.210660584,35.87470018,21.56797031,7.248049428,28.29810989,455.8708073,LAML,Tumor
TCGA-AB-2851-03,40.52619903,42.96689252,11.23030665,19.50427171,22.63948294,19.71541265,0.041438645,44.3104327,15.76992105,25.34713305,5.532678613,1.339474751,52.4353354,70.16370692,12.0212285,54.14614501,520.9695641,LAML,Tumor
TCGA-AB-2980-03,35.04633939,29.57556863,9.947633849,16.49038766,10.76596252,26.57284847,1.395700073,57.51198356,22.89823101,33.19434334,7.711832128,1.054249734,16.48337052,27.62243153,12.92369762,60.67739849,745.2175262,LAML,Tumor
