CODE,Group,NOP2,NSUN2,NSUN3,NSUN4,NSUN5,NSUN6,NSUN7,DNMT1,DNMT3A,DNMT3B,TRDMT1,TET1,TET2,TET3,ALKBH1,ALYREF,YBX1,SampleName
"LAML(T=173,N=337)",Tumor,49.2985,43.5701,13.09,20.4897,15.0898,21.4906,0,82.6809,16.69,4.9499,6.9302,1.65,19.9197,16.5598,6.28,50.3693,458.2201,"TCGA-AB-2972-03"
"LAML(T=173,N=337)",Tumor,55.5292,51.3991,18.25,19.2705,9.3001,19.0395,0,116.2501,34.7601,1.12,12.8499,3.18,49.6207,22.2207,7.23,30.721,623.2632,"TCGA-AB-2914-03"
"LAML(T=173,N=337)",Tumor,39.8598,26.25,12.6099,17.4495,20.2399,11.7003,0.03,98.4818,12.4096,3.71,5.6798,1.62,61.2219,23.1998,5.5799,33.9292,433.6829,"TCGA-AB-2967-03"
"LAML(T=173,N=337)",Tumor,56.5586,31.811,10.8903,12.6704,10.5998,11.7101,0.01,89.7527,21.8405,0.76,9.6301,2.4099,42.0888,19.7794,8.8498,32.4705,553.1003,"TCGA-AB-2892-03"
"LAML(T=173,N=337)",Tumor,56.1913,32.8804,14.1399,18.6296,15.3196,24.0596,0.06,112.4771,26.72,15.36,9.0101,2.1,36.0408,14.46,7.0401,39.2104,322.1515,"TCGA-AB-2976-03"
"LAML(T=173,N=337)",Tumor,39.4913,47.0189,16.4203,26.2591,20.8003,15.8599,0.86,124.8878,34.4602,30.8405,7.9597,2.77,14.0802,12.1702,6.59,43.6215,463.4908,"TCGA-AB-2943-03"
"LAML(T=173,N=337)",Tumor,36.0208,20.6695,7.3799,16.6796,19.1494,10.27,0.12,70.4086,16.3499,13.5104,4.57,0.57,6.3602,4.9799,4.3601,44.461,424.4046,"TCGA-AB-2986-03"
"LAML(T=173,N=337)",Tumor,71.0114,58.391,16.8598,29.619,22.7097,25.5003,0.24,134.5585,37.9088,20.99,11.7499,2.2399,29.2193,21.4593,9.1201,54.1081,556.3687,"TCGA-AB-2869-03"
"LAML(T=173,N=337)",Tumor,84.7701,69.8883,16.3295,49.0292,26.5704,31.8507,6.78,150.5909,95.9815,21.1903,12.7196,4.0001,1.36,39.7109,8.7497,55.3102,875.764,"TCGA-AB-3009-03"
"LAML(T=173,N=337)",Tumor,89.6098,49.9209,18.7202,34.1889,24.8494,41.9898,0.19,108.9322,57.229,15.9304,9.2103,2.08,44.9786,27.0498,8.43,46.4907,455.7178,"TCGA-AB-2879-03"
