SampleName,Group,CODE
"TCGA-AB-2972-03",Tumor,LAML
"TCGA-AB-2914-03",Tumor,LAML
"TCGA-AB-2967-03",Tumor,LAML
"TCGA-AB-2892-03",Tumor,LAML
"TCGA-AB-2976-03",Tumor,LAML
"TCGA-AB-2943-03",Tumor,LAML
"TCGA-AB-2986-03",Tumor,LAML
"TCGA-AB-2869-03",Tumor,LAML
"TCGA-AB-3009-03",Tumor,LAML
"TCGA-AB-2879-03",Tumor,LAML
"TCGA-AB-2994-03",Tumor,LAML
"TCGA-AB-2870-03",Tumor,LAML
"TCGA-AB-2981-03",Tumor,LAML
"TCGA-AB-2884-03",Tumor,LAML
"TCGA-AB-2998-03",Tumor,LAML
"TCGA-AB-2978-03",Tumor,LAML
"TCGA-AB-2875-03",Tumor,LAML
"TCGA-AB-2956-03",Tumor,LAML
"TCGA-AB-2965-03",Tumor,LAML
"TCGA-AB-3008-03",Tumor,LAML
"TCGA-AB-2844-03",Tumor,LAML
"TCGA-AB-3012-03",Tumor,LAML
"TCGA-AB-2853-03",Tumor,LAML
"TCGA-AB-2876-03",Tumor,LAML
"TCGA-AB-2949-03",Tumor,LAML
"TCGA-AB-2820-03",Tumor,LAML
"TCGA-AB-3007-03",Tumor,LAML
"TCGA-AB-2851-03",Tumor,LAML
"TCGA-AB-2915-03",Tumor,LAML
"TCGA-AB-2988-03",Tumor,LAML
"TCGA-AB-2862-03",Tumor,LAML
"TCGA-AB-2847-03",Tumor,LAML
"TCGA-AB-2859-03",Tumor,LAML
"TCGA-AB-2838-03",Tumor,LAML
"TCGA-AB-2917-03",Tumor,LAML
"TCGA-AB-2826-03",Tumor,LAML
"TCGA-AB-2825-03",Tumor,LAML
"TCGA-AB-2840-03",Tumor,LAML
"TCGA-AB-2816-03",Tumor,LAML
"TCGA-AB-2868-03",Tumor,LAML
"TCGA-AB-2821-03",Tumor,LAML
"TCGA-AB-2843-03",Tumor,LAML
"TCGA-AB-2871-03",Tumor,LAML
"TCGA-AB-2938-03",Tumor,LAML
"TCGA-AB-2846-03",Tumor,LAML
"TCGA-AB-2860-03",Tumor,LAML
"TCGA-AB-2849-03",Tumor,LAML
"TCGA-AB-2891-03",Tumor,LAML
"TCGA-AB-2932-03",Tumor,LAML
"TCGA-AB-2984-03",Tumor,LAML
"TCGA-AB-2858-03",Tumor,LAML
