Tag	GSM316652	GSM316653	GSM316654	GSM316655	GSM316656	GSM316657	GSM316658	GSM316659	GSM316660	GSM316661	GSM316662	GSM316663	GSM316664	GSM316665	GSM316666	GSM316667	GSM316668	GSM316669	GSM316670	GSM316671	GSM316672	GSM316673	GSM316674	GSM316675	GSM316676	GSM316677	GSM316678	GSM316679	GSM316680	GSM316681	GSM316682	GSM316683	GSM316684	GSM316685	GSM316686	GSM316687	GSM316688	GSM316689	GSM316690	GSM316691	GSM316692	GSM316693	GSM316694	GSM316695	GSM316696	GSM316697	GSM316698	GSM316699	GSM316700	GSM316701	GSM316702	GSM316703	GSM316704	GSM316705	GSM316706	GSM316707	GSM316708	GSM316709	GSM316710	GSM316711	GSM316712	GSM316713	GSM316714	GSM316715	GSM316716	GSM316717	GSM316718	GSM316719	GSM316720	GSM316721	GSM316722	GSM316723	GSM316724	GSM316725	GSM316726	GSM316727	GSM316728	GSM316729	GSM316730
NOP2	9.127265107	9.333854942	9.487411098	9.205086427	8.856835292	9.623423202	8.248398494	9.220501516	9.010631299	9.703591836	9.857779835	9.767126271	9.93249388	9.156532034	8.987355167	9.377621125	9.077860216	9.635640019	8.706286928	9.317067517	9.049828391	9.77709267	9.46908022	9.28490835	9.659130222	9.194939929	8.66821803	9.636536083	9.15509138	9.197385433	9.49885145	9.47192514	9.259712249	8.870133018	9.645971389	9.396978045	9.253700632	10.07115721	9.36099494	9.507234285	9.606736981	9.914959241	9.790423086	9.018210328	9.735315599	9.112983935	9.299502697	9.204306142	9.23341459	9.026135699	9.772008668	9.426034465	9.614112453	9.788452915	9.692479565	8.508676975	9.269386621	8.96944284	9.678592175	8.963461621	9.154191037	9.144179649	9.34663367	9.521600262	8.799733179	9.51856942	9.132348714	9.303987618	10.00831562	8.835458067	9.193017791	8.428362239	8.528710168	9.863794967	8.694731078	9.366460452	9.5278817	9.688815664	9.061997374
NSUN2	9.960195996	10.01062671	9.687206636	9.97943	9.888967713	9.418744756	9.425834036	9.788358114	9.110955673	10.00713711	9.419679066	10.1639565	10.36109802	9.815670789	9.555195735	8.915515966	10.01025715	10.23389725	9.580232451	10.18219376	9.465048103	10.07432912	9.632327688	9.723124618	10.25374833	9.946239765	9.691988773	9.685715014	9.123271696	10.7335002	9.891989362	9.873125495	9.372247208	9.448641174	9.805442627	9.640330196	9.332359932	10.34750583	10.17467761	9.807297102	10.61096417	10.65942829	10.01706363	8.792993864	10.07331899	9.85719172	9.480745206	10.57921717	10.32681168	10.01012676	10.46083288	9.967816657	10.34033849	9.965097079	10.69683154	9.059676875	10.25821842	9.724089894	10.12540663	9.782105236	9.523060493	9.429721604	10.59105361	10.59423935	9.292695963	10.0871035	9.637512317	10.12257169	10.5267999	9.225719536	9.882876669	9.594279208	9.657464317	10.21716181	8.716727576	10.1898886	9.984173587	10.85212045	9.813419877
NSUN3	8.951078254	8.501419819	8.964957559	8.882121926	9.073175054	8.925790679	9.869908415	9.155134232	8.426230109	8.546883327	8.63293097	8.273925283	8.3872895	8.801666899	8.855172485	8.807334378	8.90299562	8.474345973	9.13918889	9.034005576	8.76354947	8.712917908	8.5085134	8.733703199	8.485869305	9.092523701	9.315226795	8.451877946	9.115484941	9.027171722	8.91167861	8.845943617	9.487553648	9.937927915	8.950525639	8.903712439	8.723170788	8.482278279	9.12568516	8.846541716	9.145152325	9.14532586	8.505894518	8.775266026	8.585596606	8.764697537	9.288174383	9.606080755	8.894894429	8.817297933	8.952850664	10.40679618	10.10027088	9.1705092	9.103050138	8.791456275	9.605770501	8.90839124	8.910799358	9.403892687	8.619260193	8.471607815	9.114147561	9.389146402	8.564879467	9.140082819	9.104247619	8.909987191	9.041174938	10.62945171	8.785646619	9.930679435	9.621981586	8.516054804	8.470426038	8.933144057	8.956830207	9.584411258	10.21256376
NSUN4	7.37636777	7.690938782	8.282187543	8.314977342	7.475547066	8.251268597	7.841225209	7.634221079	7.623607678	8.341367354	7.366511122	7.817373413	8.357025011	7.436885234	7.40966798	7.765644305	7.73213443	7.970237615	7.450665077	7.740452936	8.518483561	8.294314599	6.91375513	7.69174548	7.171155461	8.556093959	7.980415971	7.901969428	7.762444078	7.347501899	7.769673519	8.021130314	7.452443692	7.5903863	7.90492402	7.672155408	7.573818256	8.623859948	7.398313954	7.742746047	7.608856377	8.602965875	7.676624784	7.192768783	8.513015943	7.57995057	7.733016291	7.77711909	7.8183305	7.570982941	8.266708552	7.79041115	7.448661127	8.260823053	8.56540292	7.669824374	7.844578386	7.969050125	8.116101026	7.788504055	8.325838476	7.954129394	7.966901534	8.691412035	7.229190469	7.919528214	7.640074428	7.807126937	7.967352915	7.409887612	7.966895222	7.220506273	7.413583856	8.248969631	7.425301703	7.810206695	8.045863419	7.838703502	8.309572812
NSUN5	9.259579778	9.283685654	10.01816895	9.553948086	9.890156631	9.228395927	8.994931337	9.86735907	9.018366322	10.31921985	8.898242018	9.930104746	10.40484838	9.341108109	9.552492767	10.09457747	9.14038266	9.874411016	10.07890889	8.989231822	9.246219218	9.812972452	9.116937001	9.931688341	9.953283548	10.03340356	8.658581339	9.343718285	8.991757593	9.298350682	10.572653	10.05050145	8.536049156	9.397742378	9.634398044	9.418440117	9.339007889	9.587597228	9.885780958	10.31373096	10.24773282	10.46507893	9.952872965	8.568168543	9.605428452	9.893053326	9.298273239	10.37790308	10.15115111	9.936572844	9.875730371	9.281340622	9.214172898	9.936033977	9.54015238	9.50212566	9.463716682	9.671714186	9.686019578	10.00206956	9.513556896	9.132248799	10.69821159	9.303060123	9.732144467	9.06965921	8.679838741	9.812716088	9.039233414	9.616041915	9.761702495	8.854619073	8.789657692	10.73944713	10.12622118	9.305789144	10.85949005	9.484190438	9.199596782
NSUN6	7.378962856	7.481311532	8.057095495	7.695885033	7.51541983	7.772558429	7.980099044	7.503421801	7.360149249	7.98577807	7.493119537	7.630954954	7.666276115	7.460327815	7.137533049	7.104396632	7.338373021	7.856718704	7.523743172	7.153577201	7.635185121	7.729878473	7.292943459	7.262782992	7.252288716	7.581794921	7.272157143	7.330556989	7.489106478	6.883623447	7.541235436	8.162686702	7.467580675	7.237025197	7.489362257	7.679516372	7.570533497	7.920596516	7.55205939	7.56905851	7.950031729	7.725041753	7.664240276	7.089046932	7.639682555	7.366791448	7.533544899	7.644698576	7.504769986	7.164831299	7.927815448	7.533735299	7.60159781	8.125032005	7.389623413	7.185945685	7.425336381	7.607004612	8.204133076	7.724922181	7.638332138	7.325185968	7.862256344	7.781447221	7.394984457	7.011959762	7.512637127	7.509863264	7.003127119	6.97325239	7.144836014	7.271793181	6.706677617	8.379626604	7.25400425	7.288846481	8.008491184	7.188842017	7.571245024
NSUN7	5.67196368	5.39180853	4.792417566	6.130925844	4.955196425	5.166499553	6.332015485	5.626434162	5.499516324	5.461594434	5.851548778	5.857317438	5.089242002	4.97086273	6.292117877	5.86890466	5.51663015	4.993365364	6.193219381	5.432318383	5.119935442	5.065556938	5.409193611	5.037015048	4.969265079	5.54242351	5.706237968	5.777904026	5.680994683	5.145141738	5.109770525	5.133325897	5.074847911	5.356628283	5.355193896	5.078893229	5.73526261	5.680150602	5.369580682	5.798075511	5.251887926	5.044231408	5.053597207	5.93182438	5.134120114	5.115990895	6.487950946	5.197988962	4.890925813	5.042235505	5.420435959	5.089633969	5.214920076	5.487108034	5.243991449	4.950843669	5.278566041	5.533418995	5.233677139	6.628540084	5.395070142	6.395333304	5.532228297	5.687490447	5.294207701	5.493627564	5.348235645	5.341105412	5.368671747	5.83212392	5.691119927	4.994388321	5.335230331	5.450855599	5.387827964	5.06483748	5.089937186	5.362146666	5.700453656
DNMT1	9.768533001	9.935050582	9.691077324	9.701868106	9.987370712	9.78924129	9.772462429	10.01513778	10.02120469	10.1310596	9.244087269	10.36704499	9.731551578	10.03493801	9.675069365	9.901563594	9.806321598	10.10777349	9.658187381	9.300449581	9.766500457	9.688515098	9.214678967	10.06935461	10.91055612	9.71087304	9.444002926	8.971907262	8.987938983	10.06964854	9.903513495	9.906052065	9.537772565	9.258831909	10.24474518	10.05091736	9.390415084	9.975782265	10.21761792	10.22933004	10.33239935	10.31434505	10.36113532	8.876459133	10.46315301	9.950810452	9.631271803	10.22350689	10.41345714	10.1755567	9.97197181	10.04406101	10.28490568	10.14110669	10.34008507	9.607516903	10.05048802	10.06843168	9.750675017	10.25582851	9.619785104	9.64954144	10.41113165	9.681510829	9.801799541	9.019742651	9.900994389	9.015314022	9.737220452	9.363412969	9.094706423	9.396199201	8.982061877	10.5738828	9.494667128	8.901204328	10.26901014	10.01710854	9.807878935
DNMT3A	8.059345202	9.521954941	8.918403325	9.139319841	8.997171618	8.721209117	8.255452585	8.435987357	8.38538818	10.14468763	7.490913454	9.17699911	10.24899838	7.345886123	8.319000155	8.698578987	7.81756666	9.475608637	8.560335937	7.928883672	8.205757973	8.960778136	8.077078027	8.447457111	8.609774835	8.520172136	8.078857886	8.144427329	9.117092245	7.566783833	10.35325828	10.23991127	7.304694962	7.402743956	9.348032082	8.774678263	8.664632073	9.344505701	8.641172126	9.468125586	8.82109437	9.975061676	8.064628236	8.118908736	8.543444519	8.121548982	8.278651071	8.233476859	9.819171482	9.496740546	9.423099375	9.115539553	8.756369578	9.29583663	8.8208864	7.900898313	8.253631415	8.62613215	9.005986575	8.861408719	8.952044524	8.482807496	8.937807032	8.271299945	7.630450518	8.228925318	9.28401141	8.63601593	8.359447396	7.476125372	8.43134728	7.621375793	7.284242111	9.108958249	7.916460003	8.30441362	8.89448595	8.201668131	7.568929465
DNMT3B	8.002309073	9.196985548	8.414061034	8.654393499	8.08728037	8.305055467	8.365346578	8.26469189	7.544555252	9.976098126	7.066989715	8.53791387	9.607195874	7.59482125	7.367825415	8.86236453	7.574859724	9.334572045	7.55945697	7.489078353	8.174489125	8.727307247	6.910229044	8.018146585	8.214255541	9.33297288	7.630781557	8.080323238	7.314604274	7.632537377	9.244383796	8.935551924	7.859526811	7.478538593	8.52978346	9.011146419	8.570163628	8.617465006	7.7010293	9.103861111	7.756542748	10.06945793	7.508126531	8.190622408	9.167876314	7.614164959	7.979857266	7.86677971	10.51016539	9.458632647	10.44311896	8.58034262	8.680260412	9.271029505	8.227392034	7.443222478	8.487564329	8.505097576	9.58797005	8.158382452	8.445826711	9.202922862	8.598929462	8.847126383	7.66586824	8.195766407	8.055763693	8.468181951	8.469570038	7.273087311	8.450970746	7.293251874	7.688978924	9.249738575	7.793673028	7.272030829	9.725365335	8.670285684	8.6358444
