Tag	TCGA-AB-2972-03	TCGA-AB-2914-03	TCGA-AB-2967-03	TCGA-AB-2892-03	TCGA-AB-2976-03	TCGA-AB-2943-03	TCGA-AB-2986-03	TCGA-AB-2869-03	TCGA-AB-3009-03	TCGA-AB-2879-03	TCGA-AB-2994-03	TCGA-AB-2870-03	TCGA-AB-2981-03	TCGA-AB-2884-03	TCGA-AB-2998-03	TCGA-AB-2978-03	TCGA-AB-2875-03	TCGA-AB-2956-03	TCGA-AB-2965-03	TCGA-AB-3008-03	TCGA-AB-2844-03	TCGA-AB-3012-03	TCGA-AB-2853-03	TCGA-AB-2876-03	TCGA-AB-2949-03	TCGA-AB-2820-03	TCGA-AB-3007-03	TCGA-AB-2851-03	TCGA-AB-2915-03	TCGA-AB-2988-03	TCGA-AB-2862-03	TCGA-AB-2847-03	TCGA-AB-2859-03	TCGA-AB-2838-03	TCGA-AB-2917-03	TCGA-AB-2826-03	TCGA-AB-2825-03	TCGA-AB-2840-03	TCGA-AB-2816-03	TCGA-AB-2868-03	TCGA-AB-2821-03	TCGA-AB-2843-03	TCGA-AB-2871-03	TCGA-AB-2938-03	TCGA-AB-2846-03	TCGA-AB-2860-03	TCGA-AB-2849-03	TCGA-AB-2891-03	TCGA-AB-2932-03	TCGA-AB-2984-03	TCGA-AB-2858-03	TCGA-AB-2901-03	TCGA-AB-2912-03	TCGA-AB-2834-03	TCGA-AB-2931-03	TCGA-AB-2935-03	TCGA-AB-2921-03	TCGA-AB-2924-03	TCGA-AB-2824-03	TCGA-AB-2970-03	TCGA-AB-2874-03	TCGA-AB-2939-03	TCGA-AB-2808-03	TCGA-AB-2877-03	TCGA-AB-2837-03	TCGA-AB-2835-03	TCGA-AB-2878-03	TCGA-AB-2861-03	TCGA-AB-2920-03	TCGA-AB-2842-03	TCGA-AB-2900-03	TCGA-AB-2925-03	TCGA-AB-2979-03	TCGA-AB-2942-03	TCGA-AB-2803-03	TCGA-AB-2866-03	TCGA-AB-2983-03	TCGA-AB-2966-03	TCGA-AB-2841-03	TCGA-AB-2811-03	TCGA-AB-3000-03	TCGA-AB-2896-03	TCGA-AB-2985-03	TCGA-AB-2987-03	TCGA-AB-2887-03	TCGA-AB-2940-03	TCGA-AB-2959-03	TCGA-AB-2894-03	TCGA-AB-2991-03	TCGA-AB-2805-03	TCGA-AB-2819-03	TCGA-AB-2812-03	TCGA-AB-2971-03	TCGA-AB-2990-03	TCGA-AB-2854-03	TCGA-AB-2898-03	TCGA-AB-2857-03	TCGA-AB-2918-03	TCGA-AB-3005-03	TCGA-AB-2890-03	TCGA-AB-2928-03	TCGA-AB-2910-03	TCGA-AB-2927-03	TCGA-AB-2899-03	TCGA-AB-2930-03	TCGA-AB-2880-03	TCGA-AB-2919-03	TCGA-AB-2817-03	TCGA-AB-2865-03	TCGA-AB-2973-03	TCGA-AB-2897-03	TCGA-AB-2963-03	TCGA-AB-2977-03	TCGA-AB-2908-03	TCGA-AB-2886-03	TCGA-AB-2916-03	TCGA-AB-2848-03	TCGA-AB-2856-03	TCGA-AB-2881-03	TCGA-AB-2903-03	TCGA-AB-2911-03	TCGA-AB-2934-03	TCGA-AB-2839-03	TCGA-AB-2999-03	TCGA-AB-2980-03	TCGA-AB-2885-03	TCGA-AB-2996-03	TCGA-AB-2806-03	TCGA-AB-2867-03	TCGA-AB-2855-03	TCGA-AB-2828-03	TCGA-AB-2975-03	TCGA-AB-2882-03	TCGA-AB-2944-03	TCGA-AB-2954-03	TCGA-AB-2818-03	TCGA-AB-2822-03	TCGA-AB-2873-03	TCGA-AB-2950-03	TCGA-AB-2952-03	TCGA-AB-2895-03	TCGA-AB-2883-03	TCGA-AB-2948-03	TCGA-AB-3006-03	TCGA-AB-2889-03	TCGA-AB-2815-03	TCGA-AB-2823-03	TCGA-AB-2955-03	TCGA-AB-2993-03	TCGA-AB-2904-03	TCGA-AB-2830-03	TCGA-AB-3002-03	TCGA-AB-2941-03	TCGA-AB-2832-03	TCGA-AB-2872-03	TCGA-AB-2969-03	TCGA-AB-3011-03	TCGA-AB-2913-03	TCGA-AB-2813-03	TCGA-AB-2936-03	TCGA-AB-2929-03	TCGA-AB-2810-03	TCGA-AB-2836-03	TCGA-AB-2814-03	TCGA-AB-2946-03	TCGA-AB-2995-03	TCGA-AB-2964-03	TCGA-AB-2863-03	TCGA-AB-2845-03	TCGA-AB-2893-03	TCGA-AB-2933-03	TCGA-AB-2833-03	TCGA-AB-2937-03
NOP2	49.2985	55.5292	39.8598	56.5586	56.1913	39.4913	36.0208	71.0114	84.7701	89.6098	83.5624	66.8789	36.3696	88.5723	74.7696	22.3505	59.8706	84.9878	50.8111	55.41	70.1018	71.7984	59.0914	40.3799	35.461	69.9319	72.932	63.5922	51.6599	74.8111	79.5385	57.3283	61.2389	59.5189	53.1012	40.5004	64.9284	82.1098	30.5893	43.4706	82.6122	66.1779	60.6517	43.1314	79.3898	63.3809	39.1289	55.6795	43.6911	27.4998	57.659	47.1593	44.9693	48.371	73.7812	65.5388	66.3479	55.3409	94.6732	62.6298	72.1876	49.4696	51.36	144.1763	48.4112	57.3203	38.2997	111.7776	57.5592	33.1298	69.3719	85.2119	49.449	48.2003	69.8205	86.9783	67.0692	38.6491	48.0702	40.5903	67.0506	60.7611	33.7299	19.1295	55.2412	65.1719	56.2302	78.5196	144.1763	43.7608	53.1307	128.7286	65.439	75.9817	59.2719	43.3502	69.2806	78.8305	61.2389	42.5789	63.8793	81.2718	69.8108	81.8598	70.3891	64.641	86.5393	66.3617	55.1685	28.5209	112.4381	54.7116	42.8305	39.6696	76.4678	31.69	132.7611	70.8197	49.7585	82.0302	41.4203	68.7591	62.2015	54.2809	51.4883	59.5106	45.9492	49.4593	39.0395	42.2086	39.2811	81.0411	69.5886	51.1716	75.4883	57.5592	45.7015	51.3813	53.5782	59.3788	63.7511	37.8406	45.3512	89.2997	49.8206	56.5116	63.0916	41.4605	78.9289	55.5908	56.881	94.1171	49.7206	111.7234	96.0614	41.9403	209.5562	56.0784	44.5504	47.801	43.1404	110.2922	59.1282	44.7113	53.5707	51.1397	43.3893	59.49	69.7383	51.9291	33.7791	32.5809	16.9994
NSUN2	43.5701	51.3991	26.25	31.811	32.8804	47.0189	20.6695	58.391	69.8883	49.9209	42.7504	54.9015	52.4901	49.6896	94.5617	22.6405	61.0016	55.4907	37.7096	63.5085	61.1795	39.4694	45.7807	37.6887	51.8105	89.5787	14.5798	44.9288	47.3689	45.6097	26.0091	44.0011	58.7687	58.838	56.5586	27.5093	82.0017	49.7895	36.0708	23.9398	62.5083	36.4301	42.411	42.7593	60.8707	78.2209	53.6004	51.9615	60.3498	9.4797	55.8186	52.6906	43.2991	34.9291	57.9194	70.3013	57.5712	52.9505	31.2797	59.6717	48.4683	40.8104	56.1796	54.8102	49.6207	53.4891	38.5287	43.0299	32.0589	29.7507	54.2208	47.9803	40.9294	55.56	17.98	46.8011	39.7798	34.4506	35.2404	29.8209	50.1289	38.4594	39.6889	30.5194	60.191	49.869	45.1786	33.7908	31.8397	53.4594	53.2708	44.5103	46.6909	36.1609	48.1102	59.3294	45.2005	40.9691	35.3996	45.4802	74.8007	71.9179	38.7	59.1692	42.7712	64.538	45.6192	71.9179	44.9599	35.7894	21.5204	38.8398	24.0296	55.1685	95.7423	35.9211	65.949	44.3809	58.4194	42.3904	25.8205	75.1125	36.3898	25.1998	30.0804	76.7386	42.1794	68.2321	34.9509	46.1088	50.6388	47.7812	63.6804	59.42	78.4598	58.8217	51.8105	41.5814	45.3009	40.0093	52.2505	31.0399	49.869	63.6186	51.5204	50.6283	41.0601	46.08	67.0506	50.5301	42.2906	46.1791	62.4304	39.6696	27.7506	31.9303	70.4379	56.6488	45.2193	49.3805	82.3321	27.3306	58.9686	46.879	50.8217	41.7402	28.9692	60.799	48.3408	42.2701	35.6804	36.9694	13.4898
NSUN3	13.09	18.25	12.6099	10.8903	14.1399	16.4203	7.3799	16.8598	16.3295	18.7202	12.9797	13.5001	16.97	11.83	13.4496	8.9702	13.8096	15.0898	15.1601	13.0104	13.8096	9.16	13.0004	13.7904	14.3204	13.3197	12.4303	12.6502	28.2494	18.56	8.64	11.0699	15.07	13.3799	23.7004	9.6897	15.4797	8.81	15.4701	11.9902	16.2798	10.1398	14.2402	13.8604	11.54	13.2801	28.1692	11.0003	9.7998	6.9499	9.1403	17.4701	19.9004	10.5998	25.1196	14.3602	11.0003	17.6797	3.8999	17.6099	19.4005	18.5201	12.3196	16.3103	13.9104	8.4998	11.7997	7.8501	10.7799	10.8203	9.7402	7.21	6.6899	14.0802	5.9198	15.5098	14.5495	15.8896	7.0601	8.4898	11.45	14.46	7.8998	14.3204	16.7398	14.1497	26.5409	10.7202	9.5503	23.0299	10.0502	13.4096	16.4705	11.7703	15.9403	17.4798	20.4302	11.5897	3.97	17.8496	20.2104	8.1699	9.77	15.3398	13.1	16.3999	17.0703	14.94	13.2103	17.8397	10.83	12.1399	4.6599	7.6497	14.6203	22.8899	14.8203	5.2398	14.7803	21.2197	16.29	13.3502	13.1	9.6201	12.7003	9.0702	22.3893	14.4701	15.1895	16.3295	15.6697	13.8604	15.6101	20.3003	13.4403	18.9001	16.5805	14.2897	11.3804	9.3098	20.6996	7.5199	17.0904	15.7002	13.5404	14.6802	11.4199	20.8407	18.9697	12.1298	13.14	10.0502	10.3099	6.1299	10.1898	8.0101	17.6895	13.13	10.1496	23.3806	17.3699	6.3299	15.5302	12.8901	12.3102	13.6204	13.27	20.8797	12.5497	5.8399	13.4701	8.0301	5.5199
NSUN4	20.4897	19.2705	17.4495	12.6704	18.6296	26.2591	16.6796	29.619	49.0292	34.1889	28.819	28.2103	17.1498	28.0698	22.8994	11.2198	32.9603	31.2602	17.8694	21.2801	22.7207	19.8206	22.8296	13.8096	28.9091	39.2593	21.8799	26.1103	22.0306	28.5803	27.9591	23.7794	30.6593	31.541	25.0102	13.2598	24.2202	25.7401	18.1101	17.1106	32.2193	22.7302	31.271	27.0404	21.4697	18.9697	17.6601	21.5398	17.5101	5.35	26.1103	27.0105	15.5496	16.8096	26.6294	28.1692	20.6795	23.2593	15.7002	16.9195	27.8296	23.0299	16.1103	38.6089	25.7204	19.0501	18.3006	24.5107	29.8498	20.7499	20.2202	16.7201	14.72	19.8797	8.4698	20.5395	22.3304	19.7602	12.6897	13.98	24.8805	28.9994	15.5798	15.2698	29.5206	19.7506	20.0305	23.3595	22.2207	21.2006	23.2706	18.0599	20.2301	16.4294	18.9802	22.7003	28.3298	23.3401	21.5802	24.5107	41.4892	27.5494	13.5798	32.6397	21.7197	20.3101	28.1595	27.2097	31.9901	18.8099	30.77	19.3401	12.1702	13.8796	33.7206	13.8998	26.1392	16.8096	25.9695	23.8008	11.16	29.0094	29.2903	17.4604	16.53	43.3112	29.1707	28.32	25.1806	34.151	17.4205	30.6189	33.5202	46.7006	17.56	18.34	23.7893	37.6287	30.12	29.7507	36.681	17.6295	17.8905	25.5499	20.4104	16.2697	26.8202	12.4096	29.1202	25.5605	23.9398	46.1311	36.4604	28.7791	19.5098	16.8096	30.6402	18.8596	16.1595	29.2294	24.2001	20.4997	22.8407	23.8801	18.1805	28.7991	20.7599	25.8599	22.0902	17.01	16.3999	15.9802	13.4198
NSUN6	21.4906	19.0395	11.7003	11.7101	24.0596	15.8599	10.27	25.5003	31.8507	41.9898	16.3499	22.7003	14.41	20.9203	18.1101	9.0998	18.78	16.2404	16.3103	18.4996	24.1599	12.5002	26.9992	18.5806	27.1193	26.9805	29.1303	15.4197	19.5206	31.4602	18.7995	17.0502	15.9304	16.0101	40.9691	9.1803	18.3095	17.2296	10.8903	26.72	21.3096	10.8797	24.3498	26.96	14.1203	13.1801	24.5703	14.6	14.0802	5.7699	13.87	27.8508	11.2603	10.75	25.5605	17.8694	29.6293	21.2094	8.1699	19.2305	23.8107	38.7591	20.8407	21.4995	11.0301	7.7802	15.9602	14.67	15.07	13.9297	10.3903	11.0003	11.63	20.5295	12.8197	13.7503	15.5896	16.1002	11.8703	7.0999	24.5805	19.8701	4.3499	6.4098	29.9992	24.9998	15.6502	31.0701	19.7205	24.76	13.6696	21.9604	20.1601	22.0397	14.4801	20.7801	28.6795	22.4608	8.2102	16.8096	41.2712	12.77	14.2096	11.52	26.4307	24.6607	25.4897	24.9599	19.2799	9.8899	17.6405	14.5596	5.8802	15.3504	22.2902	8.1101	24.5005	11.89	20.0305	31.0808	7.9498	18.4701	21.1302	26.1701	19.1999	30.3296	12.47	31.0895	8.6598	17.1605	12.8999	26.7793	30.8298	32.9603	15.2803	28.3809	15.8302	12.8802	21.7604	10.2103	35.8092	14.8398	14.5697	22.5107	15.9403	18.1503	16.5598	37.8196	34.8807	25.8706	11.6898	12.6204	18.0099	28.2906	21.9604	7.6101	24.19	24.6197	11.2299	16.7097	40.7087	6.9	14.7098	22.9105	19.0105	18.4996	13.2002	14.9203	20.6895	8.0899	14.8295	6.4298	5.7201
NSUN7	0	0	0.03	0.01	0.06	0.86	0.12	0.24	6.78	0.19	0.62	0.05	0.05	0.06	3.2399	3.52	0	2.11	0.03	0.01	0.21	1.6601	0.13	0	4.4799	0.15	2.04	0.12	2.7999	0	2.02	0.1	0.21	0.04	5.23	0.03	0.22	3.4899	0	0.39	0.66	0.04	0.2	0.18	0.01	0.26	0.04	0.09	0	0	0.07	0.02	0.49	0.13	0.1	0.67	0.02	0.01	0.11	0.04	0.02	1.61	0.74	0.02	0.04	0.05	0.91	0.13	0.14	4.44	0.03	0.31	0	0	0.46	0.03	1.69	0.01	0.04	0.16	0.04	0.26	0.08	0.06	1.83	0	0	0.13	4.47	0.1	1.51	0.25	0.47	0.26	1.3	0.22	0.48	0.02	0.02	0	2.3199	0.21	2.1199	0.47	0.36	0.24	0.08	2.16	0.09	0.4	1.04	0.22	0.05	2.7299	0.16	1.18	0.53	0.27	0.08	0.04	0.03	0.08	0.32	0.8	1.12	3.59	0.01	0.27	0.08	0	0	1.27	0.89	0.91	0.04	0.09	0	0.48	1.11	0.47	0.58	5.2899	0.94	0.12	0.03	0	2.04	0.02	0.49	2.61	0.63	0.05	1.01	0.09	0.04	0	0.13	0.23	1.48	0.17	0.78	0	0	0.83	0	4.7499	1.39	0.06	0.2	0.4	3.2399	1.79	0
DNMT1	82.6809	116.2501	98.4818	89.7527	112.4771	124.8878	70.4086	134.5585	150.5909	108.9322	150.8939	185.3094	144.0864	121.0524	205.9133	67.0878	135.4756	169.1069	145.0986	163.471	157.7166	72.5689	74.8215	113.763	96.7229	134.2138	92.7184	81.0692	113.7314	137.148	110.9516	123.6989	94.6798	137.2716	186.1075	119.5183	125.4083	153.0958	69.632	107.4921	151.5542	163.3804	104.9011	214.3156	171.2419	173.9094	178.3654	220.2645	127.3971	32.5696	88.7013	167.0448	164.0499	190.6645	100.3631	120.9434	82.0188	129.292	83.4004	136.8536	155.9879	147.8295	112.6331	188.2743	109.2119	183.1259	113.448	143.2995	153.1382	112.7503	135.0724	137.4716	108.3223	119.4769	46.481	169.9647	142.8829	102.9704	78.0692	113.5109	150.2051	116.8398	114.0867	71.441	185.9914	164.3003	155.61	112.2201	156.9859	129.1397	115.9362	92.3784	126.561	143.8668	164.494	162.3531	183.9528	174.3559	79.2688	137.9393	187.2072	160.841	107.9176	177.736	152.8201	175.7391	158.6156	151.2185	136.1062	90.7222	87.0507	100.9632	36.2111	82.5893	140.6523	82.6007	171.9913	112.7581	130.4442	74.0117	76.8611	82.6981	79.9808	59.4694	129.6509	182.3027	133.2498	85.1706	123.7589	277.9333	123.3222	144.6267	130.8426	78.9015	125.3214	83.4988	85.8582	111.5067	123.7503	101.2786	107.5964	117.4081	147.4917	122.3515	121.0105	167.0448	93.7395	91.2393	135.0443	139.381	124.6111	184.0294	162.6347	78.438	127.203	95.6694	286.759	57.751	124.8532	145.7235	129.5791	130.8789	147.3997	42.7712	122.6317	124.957	84.2779	149.5506	143.1208	171.3606	89.4484	112.0413	46.6488
DNMT3A	16.69	34.7601	12.4096	21.8405	26.72	34.4602	16.3499	37.9088	95.9815	57.229	37.6496	61.0693	14.26	23.29	36.1509	13.4003	68.4121	15.5399	16.5701	77.8207	34.5295	40.5988	24.0596	43.861	51.0901	72.7301	50.3483	20.3003	35.941	39.4995	46.1695	37.6287	49.3703	38.3396	37.0592	12.9303	21.8193	27.2909	14.3303	34.2696	27.5093	39.3601	47.4708	21.0002	37.8799	35.9909	49.6689	28.1107	17.7005	9.3999	53.3299	29.3899	16.6104	22.0703	40.0787	33.9292	30.1493	24.2001	11.4603	32.719	40.4499	78.6776	33.6202	45.4897	17.8905	12.9402	18.1302	11.24	49.9001	16.29	19.3495	15.1601	67.7091	35.9809	15.9304	18.3705	31.8794	18.8204	19.5504	9.9002	61.1202	44.3409	14.0101	17.0195	79.9198	46.2913	44.9786	11.9802	38.51	14.3502	31.1499	19.7506	27.4503	22.1101	16.9301	53.1417	35.1892	36.1209	14.45	63.2581	56.6606	51.0512	24.4005	70.5209	52.3302	67.5404	37.2705	47.9803	63.3722	9.6897	30.6105	26.1302	9.2801	28.1692	108.7587	15.9304	23.6004	13.4003	37.6	57.5792	28.7293	34.9001	29.9307	34.3791	28.2396	82.7096	31.69	63.2405	24.0496	44.1692	25.1894	31.3209	62.8516	49.9209	40.31	16.3601	38.8398	19.1999	48.8088	31.3404	60.9594	20.2497	15.36	51.3991	41.2712	33.4993	36.181	46.8887	40.5594	31.8	38.0299	36.2789	18.8805	16.3703	32.2193	10.4004	60.7485	28.2298	16.3806	44.9506	67.5498	20.0194	24.4802	27.3306	47.0091	57.679	30.2707	20.2301	58.7687	9.8202	21.7107	14.67	38.0906
DNMT3B	4.9499	1.12	3.71	0.76	15.36	30.8405	13.5104	20.99	21.1903	15.9304	7.3102	1.7199	4.6299	11.4302	13.1199	4.9301	3.9199	2.8901	7.9901	24.76	10.2103	10.3701	11.9098	8.37	21.6401	12.3701	12.9896	9.8202	20.45	34.859	18.1201	16.6196	25.2908	21.8193	10.6602	2.05	5.1602	15.1601	6.64	16.2302	14.3901	12.8099	16.2697	8.1501	1.11	20.0305	53.5188	18.09	3.56	6.9201	9.8899	25.0206	5.2899	10.8903	43.8002	23.8404	12.2897	10.5697	6.3602	9.3098	9.51	26.6996	7.81	8.4399	4.1001	3.26	9.3298	3.95	27.3003	4.5602	8.3898	6.5499	12.6598	0.78	1.19	1.82	7.36	30.0408	3.9601	5.2101	10.3802	26.0398	5.32	0.51	18.3603	10.2401	7.13	3.0199	14.5002	2.8901	3.8499	10.2999	4.74	8.6598	4.29	17.2798	15.8797	34.659	2.2399	11.9802	26.9207	3.03	4.1799	9.7099	15.4797	13.1199	19.0606	9.0998	37.4492	0.94	4.23	13.8201	9.2397	32.6895	6.27	1.86	8.3898	6.8599	0.52	19.8096	8.7697	20.3694	18.3998	9.5001	12.7399	60.9509	9.5702	5.4799	9.4097	11.1399	2.01	11.7198	20.0305	50.2995	1.75	6.3299	5.8501	1.95	3.97	20.5595	37.1699	1.6	3.93	15.7198	1.22	1.25	10.9099	15.1003	22.8803	38.3396	22.19	15.1202	12.1399	1.45	5.3001	2.5101	13.9704	9.6897	4.4201	15.8203	55.9697	7.3102	12.5098	15.31	7.6101	13.7503	8.0001	14.2402	10.2401	2.7299	6.3602	2.14	3.3801
TRDMT1	6.9302	12.8499	5.6798	9.6301	9.0101	7.9597	4.57	11.7499	12.7196	9.2103	14.0403	9.0702	3.76	7.51	7.6301	6.8499	5.6001	8.2102	8.9497	4.8801	7.9399	5.4202	8.4499	6.03	9.51	17.1296	8.4798	6.1201	7.51	12.0702	5.23	9.9098	8.1699	6.84	13.13	7.5402	9.3499	4.9999	5.2701	7.5701	7.6598	8.2102	10.4004	4.3701	7.44	8.2897	20.2202	8.8799	3.69	5.7201	4.9099	14.7598	9.9497	13.2598	9.9898	5.8	6.3001	9.0702	1.7	14.4901	8.1898	8.0401	8.64	8.9603	9.2698	5.8	6.64	6.4	6.7899	6.7899	3.8499	2.84	4.11	8.4499	2.03	7.8801	13.8201	8.9497	3.97	1.78	4.74	9.0602	2.56	3.2899	14.9897	6.91	15.6502	6.6101	4.5602	13.53	2.62	6.8699	10.06	7.0802	4.94	7.6001	8.0798	8.3301	2.83	9.16	13.9201	5.99	8.0201	12.2804	10.6101	9.6201	8.1801	11.9296	6.9499	6.96	6.1299	8.2199	2.0599	2.5501	5.7499	10.2103	11.5097	3.7399	9.3602	11.4603	8.5702	8.4998	14.8203	3.76	8.2302	11.9902	11.1903	7.5701	11.6397	8.3001	6.7998	10.0698	8.74	10.9698	9.5901	7.7399	6.42	5.2899	2.07	4.8299	11.9098	3.76	5.7098	9.0702	6.6899	6.4602	12.5002	16.1797	13.3697	9.9098	10.8903	13.0203	6.2302	3.5699	4.6101	3.22	10.4502	11.1099	6.7899	15.9802	9.16	3.41	6.3299	8.7297	7.3	11.9098	7.2501	9.6998	8.8799	5.1199	15.6795	5.8298	2.81
